No,Site,Lat,Long,Date,Time,Monitor_ID,Monitor,Participants,Weather,Land Use,Turbidity_NTU,WaterTemp_C,DissolvedOxygen_ppm,pH,AirTemp_C,Salinity_ppt,Nitrates_ppm,Litter_lbs
169,Coquina Bayside,27.453,-82.689,2013-12-06,10:30,103,Samoset Elementary School,20,CLEAR,PARK,11.7,23.9,10.9,8.4,23,35,39.5,5.5
170,Coquina Bayside,27.453,-82.689,2013-12-06,12:30,103,Samoset Elementary School,21,CLEAR,PARK,15,24.9,9.7,8.4,25.8,34.3,43.2,
167,Coquina Bayside,27.453,-82.689,2013-12-05,10:30,103,Samoset Elementary School,20,CLEAR,PARK,23.3,23.7,10.7,8.7,24.2,37,41.5,12
168,Coquina Bayside,27.453,-82.689,2013-12-05,12:00,103,Samoset Elementary School,19,CLEAR,PARK,16.2,23.5,9,8.7,25.2,36,50,
165,Fort De Soto North Beach,27.636,-82.739,2013-11-15,10:30,8,Passadena Fundamental School,58,CLOUDY,PARK,50.6,20.1,8.8,,20.8,37.3,41.6,5.5
166,Fort De Soto North Beach,27.636,-82.739,2013-11-15,12:00,8,Passadena Fundamental School,58,CLOUDY,PARK,51.9,20,7.1,,21.5,37.7,34.3,
163,Fort De Soto North Beach,27.636,-82.739,2013-11-05,11:20,5003,Lakeview Fundamental School,78,CLEAR,PARK,,23.1,9.2,,28.3,32.3,47.1,4
164,Fort De Soto North Beach,27.636,-82.739,2013-11-05,12:10,5003,Lakeview Fundamental School,77,CLEAR,PARK,,24,7.9,,25,31,45,
162,Coquina Bayside,27.453,-82.689,2013-10-30,12:45,110,Prine Elementary School,24,CLEAR,PARK,20.8,24.2,6,,25.4,24.4,32.5,
161,Coquina Bayside,27.453,-82.689,2013-10-30,9:30,110,Prine Elementary School,24,CLEAR,PARK,22.3,22.7,5.7,8.03,22.5,24.4,42,3
159,Coquina Bayside,27.453,-82.689,2013-10-29,10:00,110,Prine Elementary School,22,CLEAR,PARK,18.1,23.2,6.8,8.2,22.9,24,42.2,
160,Coquina Bayside,27.453,-82.689,2013-10-29,12:50,110,Prine Elementary School,21,CLEAR,PARK,19.5,23.5,8.8,8.3,,24.3,30.8,8.5
157,Coquina Bayside,27.453,-82.689,2013-10-28,10:00,110,Prine Elementary School,22,CLEAR,PARK,23.9,20.9,6.5,,22.2,25.9,42,
158,Coquina Bayside,27.453,-82.689,2013-10-28,12:19,110,Prine Elementary School,22,CLEAR,PARK,28.8,22.5,8.9,,24.4,25.2,41.1,2
155,Fort De Soto North Beach,27.636,-82.739,2013-10-22,10:15,5008,Madeira Beach Fundamental School,25,CLEAR,PARK,7.3,27.1,5.3,,27.7,29,65.2,4
156,Fort De Soto North Beach,27.636,-82.739,2013-10-22,11:30,5008,Madeira Beach Fundamental School,25,CLEAR,PARK,4.9,27.2,5.9,8.27,28.9,28.6,68.6,
153,Fort De Soto North Beach,27.636,-82.739,2013-10-21,10:15,5008,Madeira Beach Fundamental School,26,CLEAR,PARK,19.5,27.2,4.6,8.14,27.5,,,
154,Fort De Soto North Beach,27.636,-82.739,2013-10-21,11:15,5008,Madeira Beach Fundamental School,26,CLOUDY,PARK,2.5,27,5.9,8.14,27.4,,,7
151,Fort De Soto East Beach,27.624,-82.709,2013-10-17,9:00,7,St. Stephen's Episcopal School,33,CLEAR,PARK,5.7,27.3,7.6,8.52,28.5,,58.8,
152,Fort De Soto North Beach,27.636,-82.739,2013-10-17,11:20,7,St. Stephen's Episcopal School,33,CLEAR,PARK,11.8,27.8,7.4,8.4,27.5,28.2,47.7,6
149,Crystal River,28.897,-82.61,2013-10-16,10:00,7,St. Stephen's Episcopal School,66,CLOUDY,RESIDENTIAL,14.7,23.6,6.6,8.2,23.6,0.2,7.6,
150,Rainbow River State Park,29.114,-82.441,2013-10-16,14:30,7,St. Stephen's Episcopal School,66,CLEAR,PARK,,24.3,8.1,8.23,31.3,0.2,7.2,
147,Sweet Water Organic Farm,27.999,-82.561,2013-10-14,10:15,7,St. Stephen's Episcopal School,33,CLEAR,AGRICULTURAL,19,28.2,3.1,6.69,24.4,0.2,1.9,
148,Sweet Water Organic Farm,27.999,-82.561,2013-10-14,13:30,7,St. Stephen's Episcopal School,33,CLEAR,AGRICULTURAL,32,22.8,1.9,6.6,24.4,0.2,1.3,
145,Fort De Soto North Beach,27.636,-82.739,2013-10-10,11:30,5006,Skyview Elementary School,25,CLEAR,PARK,4.7,24.7,7.2,8.57,25.5,28.9,42.2,3.5
146,Fort De Soto North Beach,27.636,-82.739,2013-10-10,12:45,5006,Skyview Elementary School,25,CLEAR,PARK,,24.9,7.9,,26,29.7,53.4,
144,Fort De Soto North Beach,27.636,-82.739,2013-10-09,12:30,9999,Lighthouse,61,CLOUDY,PARK,27.3,27.7,6.3,8.4,27.3,28.6,42.2,7.5
142,Fort De Soto North Beach,27.636,-82.739,2013-10-08,11:30,5006,Skyview Elementary School,24,CLEAR,PARK,23.7,29.5,8.8,8.67,28.7,28.1,43,10
143,Fort De Soto North Beach,27.636,-82.739,2013-10-08,12:40,5006,Skyview Elementary School,23,CLEAR,PARK,13.5,28.3,7.8,8.42,29.5,27.5,47.1,
141,Fort De Soto East Beach,27.624,-82.709,2013-09-20,13:15,5,Real Life Christian Academy,36,CLEAR,PARK,,29.5,7.3,8.32,31.4,28,55.7,14
