No,Site_ID,Site,Lat,Long,Date,Time,Monitor_ID,Monitor,Participants,Weather,Land Use,Turbidity_NTU,WaterTemp_C,DissolvedOxygen_ppm,pH,AirTemp_C,Salinity_ppt,Nitrates_ppm,Litter_lbs,Most_Abundant_Litter,Most_Abundant_Species,Species_Found,Wind_Speed_mph,Wind_Direction
1,3,Fort De Soto East Beach,27.624233,-82.707601,4/4/12,3:00:00 PM,200,Mayfair Middle School,16,,PARK,,27.1,5.8,8.41,27.3,31.2,,,,,,,
2,3,Fort De Soto East Beach,27.624233,-82.707601,4/5/12,2:46:00 PM,10,Discovery Academy of Lake Alfred-8th,27,CLEAR,PARK,,28.3,6.6,8.54,30.1,31.2,,,,,,,
3,4,Myakka River State Park,27.264133,-82.288457,4/12/12,12:20:00 PM,11,The Kings Academy,52,CLEAR,PARK,,29,7.5,8,30,0.4,,,,,,,
4,4,Myakka River State Park,27.264133,-82.288457,4/12/12,12:40:00 PM,11,The Kings Academy,52,CLEAR,PARK,,31,4.2,8.8,29.7,0.4,,,,,,,
5,3,Fort De Soto East Beach,27.624233,-82.707601,4/13/12,11:06:00 AM,11,The Kings Academy,103,CLEAR,PARK,,23.5,5.5,8.4,26.2,32.6,,,,,,,
6,2,Fort De Soto North Beach,27.635809,-82.738715,4/18/12,11:40:00 AM,99,Nature's Academy,20,,PARK,1.5,27,7.1,8.45,27.4,33.2,,,,,,,
7,3,Fort De Soto East Beach,27.624233,-82.707601,4/25/12,4:48:00 PM,99,Nature's Academy,34,,PARK,11.3,29.5,9.6,8.55,,34.2,,,,,,,
8,4,Myakka River State Park,27.264133,-82.288457,4/26/12,12:10:00 PM,14,Montgomery Middle School,34,CLEAR,PARK,52.5,33.3,7.5,7.62,33.6,0.3,3.3,,,,,,
9,3,Fort De Soto East Beach,27.624233,-82.707601,5/11/12,9:19:00 AM,15,Terrace Community Middle School,62,,PARK,22.7,27.9,6.6,8.36,30.8,35,26.5,,,,,,
10,2,Fort De Soto North Beach,27.635809,-82.738715,6/1/12,11:25:00 AM,99,Nature's Academy,30,,PARK,18.4,25.1,7.2,8.48,25.8,35,50.2,,,,,,
11,3,Fort De Soto East Beach,27.624233,-82.707601,6/11/12,2:10:00 PM,99,Nature's Academy,15,CLEAR,PARK,7,32.8,,8.57,36.3,31.5,48.6,,,,,,
12,3,Fort De Soto East Beach,27.624233,-82.707601,6/12/12,12:10:00 PM,99,Nature's Academy,42,,PARK,25,31.3,8.1,8.33,36.9,27.6,29.4,,,,,,
13,3,Fort De Soto East Beach,27.624233,-82.707601,6/13/12,12:00:00 PM,99,Nature's Academy,47,CLEAR,PARK,33,30.5,7.1,8.28,37,27.5,33.4,,,,,,
14,2,Fort De Soto North Beach,27.635809,-82.738715,6/20/12,12:10:00 PM,99,Nature's Academy,28,CLEAR,PARK,4.4,30,6.8,8.43,34.7,25.7,,,,,,,
15,3,Fort De Soto East Beach,27.624233,-82.707601,6/27/12,11:50:00 AM,99,Nature's Academy,28,,PARK,8.1,28.5,,8.38,33.7,30.7,189,,,,,,
16,3,Fort De Soto East Beach,27.624233,-82.707601,6/28/12,2:15:00 PM,99,Nature's Academy,30,,PARK,11.2,31.8,9.8,8.34,32.6,17.7,68,,,,,,
17,1,Coquina Bayside,27.448247,-82.68879,9/18/12,,6,CHEFF,54,,,,,,,,,,38,,,,,
18,1,Coquina Bayside,27.448247,-82.68879,9/20/12,,129,Rowlett Elementary School,105,,,,,,,,,,81,,,,,
19,1,Coquina Bayside,27.448247,-82.68879,9/21/12,11:20:00 AM,129,Rowlett Elementary School,55,TRACE,PARK,10,31.3,,8.2,36.3,23.3,,86,,,,,
20,1,Coquina Bayside,27.448247,-82.68879,9/27/12,11:15:00 AM,104,McNeal Elementary School,18,CLEAR,PARK,26.6,35.3,6.7,8.34,36,,,,,,,,
21,1,Coquina Bayside,27.448247,-82.68879,9/27/12,1:00:00 PM,104,McNeal Elementary School,18,CLEAR,PARK,15,29.7,9,8.4,36,,,41,,,,,
22,1,Coquina Bayside,27.448247,-82.68879,9/28/12,11:20:00 AM,104,McNeal Elementary School,42,CLEAR,PARK,28.7,29.2,8.3,8.39,32.7,,,,,,,,
23,1,Coquina Bayside,27.448247,-82.68879,9/28/12,1:00:00 PM,104,McNeal Elementary School,40,CLEAR,PARK,17,29.5,8.5,8.3,33.5,,,25,,,,,
24,2,Fort De Soto North Beach,27.635809,-82.738715,10/1/12,12:30:00 PM,5003,Lakeview Fundamental School,33,CLEAR,PARK,13.2,29.2,7.3,8.23,29.3,,,,,,,,
25,2,Fort De Soto North Beach,27.635809,-82.738715,10/1/12,1:10:00 PM,5003,Lakeview Fundamental School,32,CLEAR,PARK,22.7,30.5,7,8.31,30.7,,,13,,,,,
26,1,Coquina Bayside,27.448247,-82.68879,10/2/12,12:45:00 PM,108,Palmetto Elementary School,25,CLOUDY,PARK,8,29.1,9,8.5,31.5,,,68,,,,,
27,1,Coquina Bayside,27.448247,-82.68879,10/3/12,10:15:00 AM,108,Palmetto Elementary School,25,RAIN MEASURABLE,PARK,70.5,27.1,6.9,8.3,26.3,,,,,,,,
28,1,Coquina Bayside,27.448247,-82.68879,10/3/12,11:00:00 AM,108,Palmetto Elementary School,26,RAIN MEASURABLE,PARK,66,28,6.7,8.33,26.5,,,49,,,,,
29,1,Coquina Bayside,27.448247,-82.68879,10/4/12,9:40:00 AM,110,Prine Elementary School,18,CLEAR,PARK,7,27.7,9.2,8.43,27.4,,,,,,,,
30,1,Coquina Bayside,27.448247,-82.68879,10/4/12,11:00:00 AM,110,Prine Elementary School,20,CLEAR,PARK,30,29.5,,8.6,27.4,,,35,,,,,
31,1,Coquina Bayside,27.448247,-82.68879,10/5/12,10:00:00 AM,110,Prine Elementary School,28,CLEAR,PARK,9.7,27.9,10.7,8.54,28.5,,,,,,,,
32,1,Coquina Bayside,27.448247,-82.68879,10/5/12,11:30:00 AM,110,Prine Elementary School,29,CLEAR,PARK,20,28,11,8.2,,,,50,,,,,
33,3,Fort De Soto East Beach,27.624233,-82.707601,10/8/12,11:20:00 AM,5006,Skyview Elementary School,25,CLOUDY,PARK,1.1,27.8,6.4,8.11,27.6,,,,,,,,
34,3,Fort De Soto East Beach,27.624233,-82.707601,10/8/12,12:00:00 PM,5006,Skyview Elementary School,24,CLOUDY,PARK,5.4,27.1,7.3,8.26,28.6,,,20,,,,,
